GP-No;Name;Time;Timegap;X;Y;X-offset;Y-offset;Pupil Diameter Left (mm);Pupil Diameter Right (mm);Mouse X-coord;Mouse Y-coord;AoI
1;CANDIDA;0;0;902;399;0;0;4,62;4,44;-;-;-
2;CANDIDA;16;16;883;326;0;0;4,62;4,52;-;-;-
3;CANDIDA;33;16;894;411;0;0;4,57;4,49;-;-;-
4;CANDIDA;49;16;921;396;0;0;4,67;4,56;-;-;-
5;CANDIDA;66;16;886;393;0;0;4,62;4,51;-;-;-
6;CANDIDA;83;16;867;401;0;0;4,65;4,54;-;-;-
7;CANDIDA;99;16;879;404;0;0;4,64;4,54;-;-;-
8;CANDIDA;116;16;864;399;0;0;4,65;4,6;-;-;-
9;CANDIDA;133;16;910;403;0;0;4,67;4,57;-;-;-
10;CANDIDA;149;16;904;413;0;0;4,67;4,62;-;-;-
11;CANDIDA;166;16;912;420;0;0;4,8;4,65;-;-;-
12;CANDIDA;182;16;892;397;0;0;4,7;4,64;-;-;-
13;CANDIDA;199;16;903;416;0;0;4,73;4,75;-;-;-
14;CANDIDA;216;16;903;409;0;0;4,76;4,67;-;-;-
15;CANDIDA;232;16;867;393;0;0;4,76;4,62;-;-;-
16;CANDIDA;249;16;889;390;0;0;4,73;4,73;-;-;-
17;CANDIDA;266;16;892;400;0;0;4,7;4,75;-;-;-
18;CANDIDA;282;16;892;413;0;0;4,78;4,76;-;-;-
19;CANDIDA;299;16;880;403;0;0;4,78;4,68;-;-;-
20;CANDIDA;316;16;880;407;0;0;4,73;4,73;-;-;-
21;CANDIDA;332;16;876;374;0;0;4,7;4,65;-;-;-
22;CANDIDA;349;16;902;416;0;0;4,8;4,75;-;-;-
23;CANDIDA;365;16;893;386;0;0;4,68;4,65;-;-;-
24;CANDIDA;382;16;894;416;0;0;4,75;4,75;-;-;-
25;CANDIDA;399;16;906;409;0;0;4,76;4,7;-;-;-
26;CANDIDA;415;16;906;401;0;0;4,7;4,67;-;-;-
27;CANDIDA;432;16;913;388;0;0;4,72;4,65;-;-;-
28;CANDIDA;449;16;913;404;0;0;4,72;4,65;-;-;-
29;CANDIDA;465;16;924;375;0;0;4,7;4,67;-;-;-
30;CANDIDA;482;16;880;399;0;0;4,6;4,65;-;-;-
31;CANDIDA;499;16;926;383;0;0;4,59;4,62;-;-;-
32;CANDIDA;515;16;896;416;0;0;4,51;4,57;-;-;-
33;CANDIDA;532;16;900;422;0;0;4,57;4,54;-;-;-
34;CANDIDA;548;16;907;419;0;0;4,48;4,56;-;-;-
35;CANDIDA;565;16;910;424;0;0;4,51;4,49;-;-;-
36;CANDIDA;582;16;912;404;0;0;4,41;4,48;-;-;-
37;CANDIDA;598;16;920;403;0;0;4,44;4,38;-;-;-
38;CANDIDA;615;16;923;416;0;0;4,35;4,32;-;-;-
39;CANDIDA;632;16;920;423;0;0;4,33;4,38;-;-;-
40;CANDIDA;648;16;913;436;0;0;4,3;4,36;-;-;-
41;CANDIDA;665;16;927;427;0;0;4,28;4,3;-;-;-
42;CANDIDA;682;16;934;423;0;0;4,22;4,25;-;-;-
43;CANDIDA;698;16;937;406;0;0;4,25;4,19;-;-;-
44;CANDIDA;715;16;929;404;0;0;4,24;4,17;-;-;-
45;CANDIDA;731;16;936;409;0;0;4,15;4,15;-;-;-
46;CANDIDA;748;16;508;588;0;0;4,19;4,12;-;-;-
47;CANDIDA;765;16;254;648;0;0;3,95;4,14;-;-;-
48;CANDIDA;781;16;272;686;0;0;4,06;4,12;-;-;-
49;CANDIDA;798;16;233;689;0;0;3,99;4,09;-;-;-
50;CANDIDA;815;16;237;676;0;0;3,96;4,06;-;-;-
51;CANDIDA;831;16;264;689;0;0;3,93;4,09;-;-;-
52;CANDIDA;848;16;245;710;0;0;4,04;4,07;-;-;-
53;CANDIDA;865;16;274;689;0;0;3,96;4,11;-;-;-
54;CANDIDA;881;16;248;679;0;0;3,99;4,11;-;-;-
55;CANDIDA;898;16;264;673;0;0;3,98;4,07;-;-;-
56;CANDIDA;914;16;264;693;0;0;4,04;4,04;-;-;-
57;CANDIDA;931;16;268;681;0;0;4,01;4,12;-;-;-
58;CANDIDA;948;16;268;689;0;0;3,95;4,07;-;-;-
59;CANDIDA;964;16;290;670;0;0;4,07;4,15;-;-;-
60;CANDIDA;981;16;275;680;0;0;4,04;4,12;-;-;-
61;CANDIDA;998;16;284;703;0;0;4,14;4,19;-;-;-
62;CANDIDA;1014;16;277;681;0;0;4,11;4,09;-;-;-
63;CANDIDA;1031;16;284;690;0;0;4,14;4,2;-;-;-
64;CANDIDA;1048;16;280;670;0;0;4,14;4,22;-;-;-
65;CANDIDA;1064;16;287;696;0;0;4,17;4,25;-;-;-
66;CANDIDA;1081;16;285;681;0;0;4,17;4,25;-;-;-
67;CANDIDA;1097;16;157;764;0;0;4,28;4,28;-;-;-
68;CANDIDA;1114;16;106;820;0;0;4,19;4,27;-;-;-
69;CANDIDA;1131;16;106;801;0;0;4,22;4,35;-;-;-
70;CANDIDA;1147;16;81;804;0;0;4,28;4,3;-;-;-
71;CANDIDA;1164;16;78;809;0;0;4,27;4,36;-;-;-
72;CANDIDA;1181;16;94;820;0;0;4,25;4,36;-;-;-
73;CANDIDA;1197;16;76;807;0;0;4,35;4,38;-;-;-
74;CANDIDA;1214;16;74;809;0;0;4,33;4,4;-;-;-
75;CANDIDA;1230;16;77;826;0;0;4,4;4,4;-;-;-
76;CANDIDA;1247;16;76;830;0;0;4,38;4,54;-;-;-
77;CANDIDA;1264;16;81;811;0;0;4,43;4,38;-;-;-
78;CANDIDA;1280;16;81;839;0;0;4,49;4,44;-;-;-
79;CANDIDA;1297;16;84;814;0;0;4,49;4,51;-;-;-
80;CANDIDA;1314;16;84;817;0;0;4,44;4,56;-;-;-
81;CANDIDA;1330;16;87;810;0;0;4,51;4,56;-;-;-
82;CANDIDA;1347;16;87;797;0;0;4,51;4,54;-;-;-
83;CANDIDA;1364;16;74;811;0;0;4,56;4,57;-;-;-
84;CANDIDA;1380;16;74;824;0;0;4,6;4,65;-;-;-
85;CANDIDA;1397;16;83;817;0;0;4,59;4,64;-;-;-
86;CANDIDA;1413;16;88;807;0;0;4,54;4,68;-;-;-
87;CANDIDA;1430;16;81;824;0;0;4,54;4,68;-;-;-
88;CANDIDA;1447;16;73;830;0;0;4,62;4,8;-;-;-
